Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"amount",9A988C06-B211-C8EE-40AF-932DA07AA153,92,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,,,,,"Incomes (For Premium Users)",,,,2,,10,2,,
"amount",156DE1AD-40A6-1CF2-4E06-0B7CA3695FC3,93,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,,,,,"Expenses (For Premium Users)",,,,4,,10,2,,
"budget_id",4409A814-E0EF-68FF-D584-C62FF1E325B0,94,,C0E63DD3-0742-CE38-F039-0515F156332E,86,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"Budgets (for premium users)",P,,,1,,,,,
"budget_id",0B42E000-BA9D-E023-88A4-AA86C26244E6,95,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,E11E5D87-7E8C-D9F0-6DA7-22800C817256,144,"Incomes (For Premium Users)",,F,"Relation_6",6,,,,,
"budget_id",3CCA3ABE-2EBD-E6BC-7919-C397BD30609F,96,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,F2BCDA40-9AA9-6B0D-2083-505BBD9E2A1B,146,"Expenses (For Premium Users)",,F,"Relation_8",2,,,,,
"budget_name",B7E20785-A477-E914-6398-970CB4E35486,97,,C0E63DD3-0742-CE38-F039-0515F156332E,86,Y,Logical Type,,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,,,,,"Budgets (for premium users)",,,,2,255,,,,
"category_id",D42A1349-4320-872D-1EE4-914FC1D2FF33,98,,81F83852-7B93-698E-8486-3E5C90F96089,89,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"IncomeCategories (For Premium Users)",P,,,1,,,,,
"category_id",AE884759-BF41-6046-3E1C-E0E94DE0B017,99,,1F5F29B8-772F-27B4-9506-52717DA4FBA9,87,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"ExpenseCategories (For Premium Users)",P,,,1,,,,,
"category_id",7D797007-5526-757D-1F69-33800683335F,100,,6E2D467E-A640-E9BC-B730-366F96498C13,90,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,DD6E6F25-2D32-DE89-981D-19AF500559DE,145,"Incomes (For Premium Users)",,F,"Relation_7",7,,,,,
"category_id",1589B1EB-5504-0A77-0C5A-EF2270BCF0DA,101,,4CBCCAFA-A942-87FE-9AB8-24E6F43C6BF6,88,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,0D562E95-B1A6-D72D-B5DC-8908842D47A5,147,"Expenses (For Premium Users)",,F,"Relation_9",3,,,,,
