Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"amount",8421A9D0-D384-4DCE-6813-5A5DF6880693,156,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,N,Y,"Expenses_(For_Premium_Users)",,,NUMBER,4,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,10,2,
"amount",44F0430D-A95B-9B09-8578-34A36116C094,157,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,N,Y,"Incomes_(For_Premium_Users)",,,NUMBER,2,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,10,2,
"budget_id",1A8601C1-5F1C-E0B3-ABB2-DC6FA2495FDF,158,,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"Budgets_(for_premium_users)",P,,INTEGER,1,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"budget_id",71A2434B-EE5F-9125-8361-3CE4AA7EB4E6,159,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"Expenses_(For_Premium_Users)",,F,INTEGER,2,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"budget_id",A7C3242C-279D-015C-9C7D-BE771F3FD207,160,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"Incomes_(For_Premium_Users)",,F,INTEGER,6,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"budget_name",09A46960-B9F0-93A3-0102-120023B9FC22,161,,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,N,Y,"Budgets_(for_premium_users)",,,VARCHAR2,2,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",255,,,
"category_id",D5865D63-8D43-8503-3610-0E59B99C584C,162,,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"ExpenseCategories_(For_Premium_Users)",P,,INTEGER,1,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"category_id",BE10E9FC-851A-6646-7A10-11B2107DBEE2,163,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"Expenses_(For_Premium_Users)",,F,INTEGER,3,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"category_id",A4AEC34F-A779-ADE7-A79E-116E977FB688,164,,9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"IncomeCategories_(For_Premium_Users)",P,,INTEGER,1,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"category_id",68028441-CB23-4591-42EF-EB42A625CA2C,165,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,N,Y,"Incomes_(For_Premium_Users)",,F,INTEGER,7,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",,,,
"category_name",C9AEAC90-7437-6349-06FE-B4BEE7683670,166,,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,Y,Logical Type,,N,,,,DOM3000004,11,LOGDT024,77,,,,,,,,,N,,VARCHAR,,,,N,Y,"ExpenseCategories_(For_Premium_Users)",,,VARCHAR2,2,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",255,,,
