Domain_ID,Domain_Name,Num_Domain_ID,Synonyms,Logical_Type_ID,Num_Logical_Type_ID,T_Size,T_Precision,T_Scale,Native_Type,LT_Name
A9492218-B37D-B98A-8A7A-34EB449678D3,"ComplaintType",1,,LOGDT024,77,30,,,VARCHAR2,VARCHAR,
ED876E6F-7F83-8E19-8B8A-E6F6B148B686,"PhoneType",2,,LOGDT024,77,10,,,VARCHAR2,VARCHAR,
1E1FC6D5-1A1B-B7CD-73D4-63A9465545D7,"PositiveNumber",3,,LOGDT011,42,,,,INTEGER,Integer,
CE42AB44-9F97-8312-D049-3A44B1999A6D,"PropertyType",4,,LOGDT024,77,10,,,VARCHAR2,VARCHAR,
8BB258BA-467C-B694-C3DE-10358814CB14,"RestaurantType",5,,LOGDT024,77,15,,,VARCHAR2,VARCHAR,
D3D72C9F-A766-D6D6-D984-447AE8C00E23,"RiskLevel",6,,LOGDT024,77,10,,,VARCHAR2,VARCHAR,
5872BF5B-5D28-A687-3B76-99F4450EBF25,"RoomCount",7,,LOGDT011,42,,,,INTEGER,Integer,
C168620F-4589-59A7-6F15-3D00BA90ED21,"SanitationLevel",8,,LOGDT024,77,20,,,VARCHAR2,VARCHAR,
56CC3D61-BC4F-1AD1-2B2C-6209C62DA0B5,"State Abbreviation",9,,LOGDT025,26,2,,,CHAR,CHAR,
A96BC46B-7511-8ADA-DB56-A18D80A35E69,"StateCode",10,,LOGDT025,26,2,,,CHAR,CHAR,
DOM3000004,"Unknown",11,,LOGDT017,16,,,,UNKNOWN,unknown,
3FFB507A-6D86-6C0B-2A86-FD67B5F544A4,"user_type",12,,LOGDT024,77,15,,,VARCHAR2,VARCHAR,
C5428215-20D6-8392-9CD9-52DA52901965,"VARCHAR15",13,,LOGDT024,77,15,,,VARCHAR2,VARCHAR,
399F210C-4C2D-5B69-283B-AB1C16F27AFB,"VARCHAR150",14,,LOGDT024,77,150,,,VARCHAR2,VARCHAR,
9E24B063-1FF0-E7EF-ABE7-0862E82FCEAA,"ZipCodeType",15,,LOGDT025,26,5,,,CHAR,CHAR,
