Logical_Type_ID,Num_Logical_Type_ID,LT_Name
LOGDT017,16,"unknown",
LOGDT005,17,"Audio",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10034,18,"BFile",
LOGDT027,19,"BIGINT",
LOGDT033,20,"BINARY",
LOGDT056,21,"BINARY DOUBLE",
LOGDT055,22,"BINARY FLOAT",
LOGDT034,23,"BIT",
LOGDT029,24,"BLOB",
LOGDT006,25,"Boolean",
LOGDT025,26,"CHAR",
LOGDT028,27,"CLOB",
LOGDT030,28,"DATALINK",
LOGDT007,29,"Date",
LOGDT008,30,"Datetime",
91229484-D19C-D458-8647-333C7FFE7B60,31,"DATETIME2",
LOGDT054,32,"DBURIType",
LOGDT026,33,"DECIMAL",
69230305-AB6A-99EB-35A1-CC306D543604,34,"DECFLOAT",
LOGDT020,35,"DOUBLE",
LOGDT021,36,"FLOAT",
LOGDT031,37,"GRAPHIC",
LOGDT052,38,"HTTPURIType",
LOGDT049,39,"INTERVAL DAY TO SECOND",
LOGDT048,40,"INTERVAL YEAR TO MONTH",
LOGDT010,41,"Image",
LOGDT011,42,"Integer",
LogDes-1768A872-F385-FDBA-D95E-0CB63F5908E2@LOGDT10045,43,"Long Char",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10036,44,"Long_Raw",
LOGDT043,45,"MONEY",
LOGDT035,46,"NCHAR",
LogDes-7DD553FD-11E8-61FA-399D-2E531FB621D0@LOGDT10035,47,"NClob",
LOGDT036,48,"NTEXT",
LOGDT019,49,"NUMERIC",
LOGDT037,50,"NVARCHAR",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10005,51,"ORDAUDIO",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10009,52,"ORDDOC",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10006,53,"ORDIMAGE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10007,54,"ORDIMAGE_SIGNATURE",
LogDes-4972B6D2-6F93-8AE5-6E24-3599E65A7CFE@LOGDT10008,55,"ORDVIDEO",
LOGDT022,56,"REAL",
LOGDT032,57,"ROWID",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10040,58,"Raw",
LOGDT038,59,"SMALLDATETIME",
LOGDT018,60,"SMALLINT",
LOGDT044,61,"SMALLMONEY",
LOGDT045,62,"SQL_VARIANT",
LOGDT039,63,"SYSNAME",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10010,64,"SYS_ANYDATA",
LogDes-22E251EB-9F6C-8137-56B2-DD4B87DC1E33@LOGDT10030,65,"SYS_ANYDATASET",
LogDes-F046B719-7D91-3873-3302-38C441683842@LOGDT10011,66,"SYS_ANYTYPE",
LOGDT040,67,"TEXT",
LOGDT047,68,"TIMESTAMP WITH LOCAL TIME ZONE",
LOGDT046,69,"TIMESTAMP WITH TIME ZONE",
LOGDT042,70,"TINYINT",
LOGDT014,71,"Time",
LOGDT015,72,"Timestamp",
LOGDT057,73,"UNIQUEIDENTIFIER",
LOGDT051,74,"URIType",
LogDes-4BABEC65-108B-2A3C-F7C4-84AC47D292B0@LOGDT10041,75,"URowID",
LOGDT041,76,"VARBINARY",
LOGDT024,77,"VARCHAR",
LOGDT023,78,"VARGRAPHIC",
LOGDT016,79,"Video",
LOGDT053,80,"XDBURIType",
LOGDT050,81,"XMLType",
A3A3C77D-0366-9768-FF89-1C25E56881C8,82,"String",
47823B89-BECE-2D4A-B641-EE3BE6149078,83,"JSON",
